ID,Gender,State,Zip,Zip3,Weeks Since First Purchase,Weeks Since Last Purchase,Book Purchase ($),Nonbook Purchase($),Total Purchase ($),No. of Purchases,No. of Childbook Purchases,No. of Youthbook Purchases,No. of Cookbook Purchases,No. of Do It Purchases,No. of Referncebook Purchases,No. of Artbook Purchases,No. of Geographybook Purchases,Response
39141,F,NJ,7083,70,23,3,87,299,386,8,2,0,2,3,0,0,1,No
41500,F,PA,15673,156,27,3,90,293,383,8,2,1,1,2,1,0,1,No
14368,M,NY,11214,112,49,3,91,291,382,8,3,3,0,0,0,1,1,No
39959,F,NJ,8053,80,39,3,98,284,382,8,1,0,2,0,2,1,2,No
35736,F,NJ,7083,70,41,3,90,290,380,8,4,0,0,1,1,0,2,No
21790,M,PA,19380,193,31,3,85,294,379,8,3,2,1,0,1,0,1,No
32090,F,CT,6118,61,43,3,91,282,373,8,3,0,3,1,0,0,1,No
13762,F,NJ,8755,87,37,3,99,271,370,8,4,0,0,0,1,1,2,No
27804,F,MA,1301,13,37,3,85,283,368,8,3,1,2,1,0,0,1,No
57042,F,NJ,8752,87,31,3,92,271,363,8,0,3,4,0,0,0,1,No
59971,F,NY,11746,117,47,3,87,275,362,8,3,1,1,0,2,1,0,No
40016,F,ME,4072,40,31,3,85,276,361,8,3,1,2,1,0,0,1,No
43911,M,NJ,7095,70,29,3,84,277,361,8,1,3,3,0,0,1,0,No
33037,F,MD,21044,210,19,3,87,272,359,8,3,1,2,0,0,1,1,No
25378,F,MD,21235,212,27,3,92,265,357,8,1,1,4,1,0,0,1,No
27594,M,CT,6082,60,49,3,84,269,353,8,1,2,3,1,1,0,0,No
33221,F,NJ,8863,88,29,3,88,264,352,8,1,1,3,2,0,0,1,No
48282,F,MA,1056,10,49,3,88,264,352,8,2,0,2,1,0,3,0,No
29632,F,NY,10024,100,43,3,87,262,349,8,2,0,3,1,1,1,0,No
47992,F,NJ,8850,88,27,3,96,248,344,8,0,1,2,2,0,2,1,No
41176,F,NY,13021,130,29,3,86,253,339,8,1,2,5,0,0,0,0,No
38868,M,NJ,7067,70,41,3,83,255,338,8,3,2,2,0,0,0,1,No
34920,F,PA,18612,186,35,3,91,241,332,8,1,1,2,1,1,2,0,No
51810,M,MA,1960,19,31,3,95,230,325,8,1,1,1,0,1,2,2,No
10716,F,NY,14092,140,43,3,87,234,321,8,2,1,2,2,0,1,0,No
59860,M,PA,15237,152,47,3,83,238,321,8,4,1,1,0,1,1,0,No
45515,F,NY,10475,104,21,3,86,234,320,8,3,0,2,1,2,0,0,No
59507,F,PA,15090,150,29,3,95,220,315,8,1,1,3,0,0,0,3,No
27191,F,PA,15701,157,45,3,90,220,310,8,2,0,1,3,0,1,1,No
54325,M,PA,19111,191,43,3,90,219,309,8,1,1,3,1,0,1,1,No
14934,M,PA,19115,191,31,3,86,216,302,8,4,0,1,1,1,0,1,No
22192,F,NJ,7030,70,43,3,92,208,300,8,1,3,0,0,1,3,0,Yes
34057,F,NJ,7662,76,31,3,94,205,299,8,0,2,2,1,1,1,1,No
41132,M,MA,1083,10,45,3,83,211,294,8,2,1,3,1,1,0,0,No
48422,M,MA,2368,23,21,3,92,202,294,8,1,1,1,1,2,1,1,Yes
22228,F,NY,14580,145,37,3,89,199,288,8,2,2,1,0,2,0,1,No
30663,F,PA,17701,177,39,3,90,198,288,8,1,4,2,0,0,0,1,No
54365,F,NJ,7649,76,49,3,90,197,287,8,3,1,0,1,1,1,1,Yes
18305,M,NJ,7901,79,37,3,87,199,286,8,1,1,2,3,0,1,0,Yes
50423,F,NY,11694,116,25,3,89,193,282,8,1,2,3,0,0,0,2,No
44593,M,PA,19606,196,39,3,96,184,280,8,2,0,2,0,1,1,2,Yes
30166,F,CT,6410,64,31,3,87,191,278,8,3,0,2,1,1,1,0,Yes
41008,F,NY,14304,143,47,3,94,182,276,8,1,1,2,0,2,0,2,No
28636,F,NJ,8008,80,31,3,92,182,274,8,4,0,1,1,1,1,0,No
54850,F,MA,1760,17,23,3,94,179,273,8,0,1,2,2,0,0,3,No
45935,F,PA,18018,180,47,3,93,176,269,8,1,0,3,1,1,1,1,No
13585,F,NJ,8807,88,49,3,89,178,267,8,1,1,3,3,0,0,0,No
48043,F,NY,11706,117,39,3,91,173,264,8,3,1,1,0,0,3,0,Yes
44495,F,NJ,7060,70,27,3,87,176,263,8,1,1,2,1,3,0,0,No
48543,F,NJ,8055,80,29,3,82,175,257,8,3,1,2,2,0,0,0,No
45905,M,NY,11558,115,49,3,92,160,252,8,5,0,0,1,0,1,1,No
10875,M,PA,19111,191,31,3,89,162,251,8,2,0,3,1,0,1,1,No
16324,M,PA,19018,190,37,3,95,156,251,8,4,0,1,1,0,0,2,No
44197,F,NY,10025,100,31,3,102,149,251,8,3,0,0,0,0,1,4,Yes
56157,F,PA,15062,150,33,3,92,159,251,8,1,1,1,2,1,1,1,No
21837,F,NY,13219,132,37,3,97,153,250,8,0,0,4,3,0,0,1,No
53282,F,CT,6107,61,47,3,89,160,249,8,1,1,3,1,0,2,0,Yes
17371,F,NJ,8033,80,31,3,88,152,240,8,2,1,2,1,1,1,0,No
26850,F,MD,20817,208,21,3,96,133,229,8,0,1,2,2,0,2,1,Yes
10835,M,NJ,7931,79,31,3,93,135,228,8,1,0,2,3,0,0,2,No
45277,F,DE,19802,198,33,3,89,138,227,8,1,3,1,0,1,2,0,No
54666,F,NY,11375,113,25,3,92,135,227,8,1,2,2,0,0,2,1,No
33529,F,NY,11360,113,51,3,94,129,223,8,1,1,2,1,0,1,2,No
51481,F,NY,14094,140,43,3,92,126,218,8,1,0,3,2,0,1,1,No
31248,F,NY,11422,114,23,3,82,132,214,8,2,1,4,0,1,0,0,No
49430,F,NY,12571,125,41,3,87,120,207,8,1,2,3,0,1,0,1,No
46289,M,CT,6473,64,35,3,100,106,206,8,3,0,0,0,1,0,4,No
51325,F,VT,5001,50,45,3,91,109,200,8,2,0,1,2,0,0,3,Yes
42068,F,NJ,8757,87,39,3,93,103,196,8,1,0,3,1,1,1,1,No
10527,F,NJ,7436,74,39,3,89,100,189,8,1,3,1,1,0,1,1,No
30314,F,PA,19605,196,27,3,100,83,183,8,1,0,0,1,4,1,1,Yes
48523,F,PA,19053,190,29,3,95,80,175,8,1,0,4,0,0,0,3,No
40043,F,NY,11370,113,45,3,86,85,171,8,3,0,2,2,0,1,0,No
43481,F,MA,2540,25,27,3,90,79,169,8,1,1,1,3,1,0,1,No
51563,F,NJ,7470,74,51,3,90,78,168,8,3,0,0,4,0,0,1,No
21101,M,MA,1852,18,19,3,91,66,157,8,3,0,1,2,0,0,2,No
16200,F,MA,1913,19,41,3,86,69,155,8,4,1,2,1,0,0,0,No
15180,M,CT,6118,61,43,3,85,67,152,8,3,1,2,1,0,0,1,No
15901,F,CT,6385,63,37,3,88,64,152,8,2,1,2,2,0,0,1,No
18186,F,NY,11223,112,45,3,98,47,145,8,2,0,1,1,0,2,2,No
24592,F,NJ,7716,77,43,3,94,46,140,8,2,0,1,2,1,1,1,No
56499,F,NY,14623,146,21,3,94,40,134,8,2,1,1,0,2,0,2,No
42443,M,NY,11758,117,47,3,86,43,129,8,4,0,1,0,2,1,0,No
38853,F,MD,21204,212,37,3,99,26,125,8,0,1,4,0,0,2,1,No
44929,F,CT,6897,68,29,3,75,320,395,7,3,1,0,2,0,1,0,No
52462,F,NY,11697,116,37,3,82,310,392,7,1,0,2,1,2,0,1,No
52294,M,PA,19335,193,21,3,79,306,385,7,1,1,2,1,1,0,1,No
51023,M,MA,2170,21,19,3,76,307,383,7,3,0,1,2,0,1,0,No
14335,F,PA,15601,156,35,3,85,296,381,7,4,0,0,1,0,0,2,No
14037,F,NJ,8753,87,39,3,75,293,368,7,3,1,1,0,1,1,0,Yes
23020,F,NY,11758,117,33,3,79,289,368,7,0,2,1,3,0,0,1,No
25698,F,MD,20785,207,21,3,74,291,365,7,3,0,2,1,1,0,0,No
41108,F,NY,11572,115,33,3,82,283,365,7,1,1,0,1,1,1,2,Yes
30130,F,PA,18974,189,41,3,82,277,359,7,1,0,2,1,1,2,0,No
33806,F,PA,19344,193,23,3,71,288,359,7,2,1,3,1,0,0,0,No
27727,F,NJ,8833,88,39,3,84,270,354,7,1,1,1,1,1,1,1,No
19278,M,NY,10562,105,45,3,77,276,353,7,3,1,1,0,0,1,1,No
45475,F,NJ,7070,70,39,3,68,285,353,7,4,1,2,0,0,0,0,No
18979,M,MA,1460,14,39,3,78,273,351,7,2,1,1,1,1,1,0,No
57319,F,NY,11946,119,17,3,78,273,351,7,0,2,3,1,0,0,1,No
16312,F,NY,11566,115,37,3,77,273,350,7,2,0,4,1,0,0,0,No
36926,F,PA,18324,183,43,3,82,266,348,7,2,0,1,0,0,1,3,No
29936,M,PA,19141,191,39,3,80,260,340,7,1,1,1,1,0,1,2,Yes
26837,M,DC,20002,200,45,3,78,258,336,7,1,0,4,1,0,0,1,No
46000,M,PA,18224,182,17,3,80,256,336,7,2,1,1,0,1,2,0,No
24360,F,MA,1746,17,27,3,75,259,334,7,1,2,2,1,1,0,0,No
39892,F,MD,21102,211,35,3,81,253,334,7,2,0,1,0,0,3,1,Yes
36038,M,NY,10023,100,17,3,75,257,332,7,2,2,1,0,2,0,0,No
10679,M,NY,10016,100,27,3,77,254,331,7,3,0,2,0,0,2,0,Yes
31725,F,PA,19115,191,33,3,73,250,323,7,3,1,2,0,0,1,0,No
50446,M,NJ,7032,70,31,3,79,244,323,7,3,0,2,0,0,0,2,No
58008,F,NJ,7006,70,25,3,77,246,323,7,2,0,2,2,1,0,0,No
22339,F,NY,11414,114,29,3,82,240,322,7,3,0,0,3,0,0,1,No
50001,F,NY,11757,117,35,3,87,232,319,7,1,0,0,2,1,1,2,No
13062,M,CT,6040,60,43,3,76,240,316,7,4,0,0,3,0,0,0,No
30855,M,NJ,7739,77,37,3,87,229,316,7,0,4,0,1,0,0,2,No
51265,M,PA,19438,194,23,3,82,234,316,7,1,0,3,1,0,0,2,No
14585,F,PA,19057,190,37,3,75,239,314,7,1,2,2,1,1,0,0,No
57888,F,NY,14580,145,21,3,75,225,300,7,3,1,1,1,0,0,1,No
35712,F,NY,11501,115,17,3,79,213,292,7,1,1,1,1,0,3,0,Yes
38266,F,NJ,7470,74,25,3,81,211,292,7,3,1,0,0,0,1,2,Yes
20786,M,NY,11366,113,39,3,87,204,291,7,0,2,0,1,1,2,1,Yes
58185,F,PA,19149,191,17,3,74,216,290,7,3,0,3,0,0,1,0,No
45906,F,MA,2191,21,25,3,86,201,287,7,0,0,3,0,2,1,1,No
15985,F,NY,11223,112,33,3,82,204,286,7,1,2,1,0,0,2,1,No
42085,F,PA,15236,152,37,3,75,210,285,7,1,1,3,1,1,0,0,No
25313,F,NY,11235,112,27,3,78,205,283,7,2,0,2,2,0,1,0,No
26638,M,NY,10520,105,29,3,84,197,281,7,1,0,4,0,1,0,1,No
14055,M,NY,10456,104,37,3,83,195,278,7,1,0,1,2,0,0,3,No
54277,M,NY,10010,100,23,3,78,196,274,7,3,1,0,1,0,1,1,Yes
20101,F,NJ,8096,80,23,3,78,195,273,7,3,1,1,0,0,0,2,No
11867,M,NY,11050,110,35,3,76,196,272,7,2,2,1,1,0,0,1,No
53138,F,RI,2908,29,25,3,79,192,271,7,2,0,2,2,0,0,1,No
18577,M,NY,11565,115,41,3,70,199,269,7,2,1,4,0,0,0,0,No
48369,F,NY,13413,134,33,3,78,188,266,7,1,0,3,2,0,1,0,No
10284,F,MA,1834,18,39,3,79,186,265,7,1,1,1,2,0,2,0,No
26162,F,NJ,8054,80,17,3,73,192,265,7,3,1,1,1,1,0,0,No
26824,F,MD,21146,211,29,3,90,170,260,7,0,0,2,1,0,2,2,Yes
56128,F,NY,14150,141,37,3,76,181,257,7,3,1,0,1,1,1,0,No
41481,F,NY,11795,117,27,3,83,171,254,7,1,0,2,2,0,0,2,No
42173,F,MA,2122,21,37,3,84,164,248,7,0,1,2,0,0,3,1,No
56055,F,PA,19081,190,25,3,77,163,240,7,2,0,2,0,0,3,0,No
30780,F,NJ,7470,74,37,3,75,161,236,7,2,2,2,0,0,0,1,No
18263,F,NJ,7066,70,41,3,78,153,231,7,2,1,2,0,0,2,0,No
12039,F,MA,1301,13,39,3,77,153,230,7,2,0,3,0,0,2,0,No
56242,F,CT,6457,64,43,3,81,149,230,7,1,0,2,2,0,2,0,No
41891,F,MA,2632,26,19,3,75,151,226,7,2,2,1,0,2,0,0,No
13882,F,NY,10010,100,21,3,84,139,223,7,1,0,2,1,0,2,1,No
16435,M,CT,6108,61,35,3,82,141,223,7,2,0,2,0,1,1,1,Yes
25736,F,CT,6118,61,35,3,82,139,221,7,1,0,2,2,0,1,1,No
20257,F,NJ,7205,72,43,3,85,133,218,7,2,0,1,1,0,1,2,No
33995,F,MA,2131,21,39,3,80,137,217,7,3,0,3,0,0,0,1,No
17964,F,NY,11003,110,23,3,77,139,216,7,3,0,1,2,0,0,1,No
55606,F,DC,20036,200,39,3,79,137,216,7,2,2,0,1,0,1,1,Yes
26721,M,NJ,8540,85,31,3,74,141,215,7,2,0,4,0,0,1,0,No
39541,F,NJ,7733,77,37,3,86,126,212,7,1,0,2,0,1,1,2,Yes
49204,F,PA,15650,156,17,3,80,131,211,7,2,1,2,0,0,0,2,No
21736,M,NJ,7675,76,31,3,80,129,209,7,1,0,3,1,0,2,0,No
17571,F,PA,19312,193,35,3,77,126,203,7,2,0,3,0,1,0,1,No
33725,F,NY,11795,117,21,3,84,119,203,7,0,0,4,0,1,1,1,No
51893,F,MD,20680,206,43,3,88,115,203,7,0,0,2,2,0,1,2,No
19176,M,PA,19464,194,21,3,84,117,201,7,1,1,0,1,0,2,2,Yes
32134,M,PA,18346,183,35,3,79,120,199,7,2,2,1,0,0,0,2,Yes
41301,F,MD,21128,211,25,3,70,123,193,7,3,1,3,0,0,0,0,Yes
56708,F,NY,13066,130,35,3,89,100,189,7,0,0,1,1,2,1,2,No
48630,F,ME,4937,49,27,3,86,98,184,7,0,0,2,1,0,3,1,No
25036,F,NJ,7462,74,31,3,84,99,183,7,2,0,1,1,0,2,1,No
38236,F,NY,14069,140,23,3,85,96,181,7,1,0,2,1,0,1,2,Yes
51998,F,NJ,8755,87,43,3,80,101,181,7,1,1,1,1,0,1,2,No
34165,F,CT,6375,63,19,3,81,98,179,7,1,1,1,2,0,0,2,No
10744,M,NJ,7826,78,25,3,82,93,175,7,1,1,1,0,2,0,2,No
25355,M,NY,11703,117,31,3,76,98,174,7,1,2,2,0,2,0,0,No
53173,M,MA,2066,20,19,3,82,86,168,7,0,3,0,2,0,1,1,No
34739,F,PA,17754,177,45,3,77,89,166,7,1,2,1,2,0,1,0,No
36917,F,NJ,8802,88,39,3,85,79,164,7,1,0,0,5,0,0,1,No
39641,M,NJ,8723,87,25,3,72,92,164,7,3,1,1,2,0,0,0,No
21107,F,MA,2026,20,21,3,84,64,148,7,0,0,3,1,2,0,1,No
18921,M,CT,6360,63,39,3,78,68,146,7,3,1,0,1,0,1,1,No
41010,F,PA,19067,190,29,3,81,65,146,7,4,1,0,0,1,0,1,No
44597,M,NY,10003,100,43,3,78,59,137,7,2,1,2,0,1,0,1,No
32674,F,NJ,7001,70,17,3,78,55,133,7,2,1,2,0,1,0,1,No
50314,F,NY,11216,112,27,3,80,50,130,7,4,0,2,0,0,0,1,No
19854,F,NY,14103,141,35,3,78,51,129,7,3,0,1,0,2,1,0,Yes
52061,F,MD,21222,212,39,3,80,46,126,7,1,1,2,1,0,1,1,No
37276,F,NJ,8088,80,39,3,81,43,124,7,4,0,1,1,0,0,1,No
39059,F,PA,19006,190,41,3,84,37,121,7,0,0,3,0,0,4,0,Yes
51000,F,PA,17402,174,45,3,77,37,114,7,2,0,3,0,1,0,1,No
11725,F,NJ,7067,70,33,3,81,31,112,7,2,0,2,1,0,1,1,No
45113,F,NJ,7081,70,29,3,80,28,108,7,2,2,0,0,1,1,1,No
11895,M,DC,20002,200,17,3,62,325,387,6,3,1,1,0,1,0,0,Yes
55031,M,NY,10016,100,23,3,65,318,383,6,1,1,2,1,1,0,0,No
13322,M,PA,19460,194,37,3,64,307,371,6,2,2,1,0,0,1,0,No
30726,F,PA,19031,190,17,3,59,309,368,6,2,3,1,0,0,0,0,No
10621,M,NJ,8090,80,29,3,66,298,364,6,1,3,0,1,0,0,1,No
17757,M,NY,10016,100,17,3,68,296,364,6,1,0,3,1,0,0,1,No
29319,M,MA,2152,21,27,3,72,292,364,6,0,2,0,2,1,0,1,No
12771,M,NY,11722,117,21,3,71,285,356,6,2,1,0,1,0,0,2,Yes
23185,M,NY,11362,113,33,3,67,288,355,6,1,2,1,1,0,0,1,No
28954,F,NJ,7035,70,21,3,74,280,354,6,1,0,1,0,0,1,3,No
48801,M,NY,10522,105,17,3,69,284,353,6,1,1,0,2,0,2,0,No
21539,M,NJ,7733,77,39,3,67,279,346,6,1,1,1,2,0,0,1,No
24020,M,PA,16001,160,23,3,69,276,345,6,1,1,2,0,0,1,1,No
35020,M,NJ,8550,85,21,3,71,273,344,6,1,0,1,2,0,1,1,No
58834,M,MD,21209,212,31,3,75,268,343,6,0,0,1,1,1,1,2,Yes
14812,M,PA,19094,190,17,3,71,270,341,6,2,1,0,1,0,0,2,No
31693,M,NJ,8757,87,37,3,75,266,341,6,1,1,0,0,0,0,4,Yes
38034,M,NJ,7003,70,33,3,65,270,335,6,3,1,0,1,0,0,1,Yes
48456,M,MA,2138,21,39,3,66,267,333,6,1,1,1,2,0,1,0,No
13917,M,PA,16506,165,37,3,75,253,328,6,0,0,2,1,1,1,1,Yes
40487,M,NJ,7643,76,31,3,70,257,327,6,0,0,3,2,0,1,0,No
16242,M,NY,11793,117,31,3,68,252,320,6,2,1,0,1,1,1,0,No
59494,F,MA,2090,20,35,3,65,250,315,6,1,0,4,0,1,0,0,No
23028,M,MD,20906,209,23,3,69,239,308,6,1,1,0,1,0,3,0,No
43720,M,NY,14031,140,35,3,65,233,298,6,1,1,2,1,1,0,0,Yes
23591,M,NY,11554,115,31,3,71,224,295,6,2,0,2,0,0,0,2,Yes
27553,F,NJ,7052,70,23,3,63,232,295,6,2,0,3,0,1,0,0,No
34939,M,PA,19135,191,27,3,62,233,295,6,3,1,1,0,1,0,0,No
27964,M,NY,10466,104,37,3,72,222,294,6,0,1,1,1,0,1,2,No
39305,M,CT,6460,64,21,3,73,212,285,6,0,0,1,2,0,3,0,No
44662,M,NJ,7052,70,25,3,72,197,269,6,1,0,2,0,1,1,1,Yes
55558,M,NY,11803,118,19,3,67,201,268,6,2,1,1,1,0,0,1,No
27510,M,NY,11725,117,15,3,66,200,266,6,3,0,1,1,0,0,1,No
21700,M,PA,19053,190,23,3,65,197,262,6,2,2,0,0,2,0,0,No
55911,F,NY,10022,100,29,3,74,186,260,6,0,1,2,0,1,0,2,No
49089,M,PA,18069,180,21,3,69,184,253,6,1,0,2,2,0,0,1,No
18260,F,NY,11572,115,29,3,68,184,252,6,1,1,1,0,1,0,2,No
56957,M,MD,21227,212,23,3,70,174,244,6,1,1,0,1,0,2,1,Yes
27720,M,NY,11715,117,21,3,75,165,240,6,1,0,1,1,1,1,1,Yes
58429,M,RI,2919,29,33,3,68,172,240,6,2,0,2,1,0,0,1,No
34943,M,NY,11779,117,17,3,72,163,235,6,2,0,1,0,1,1,1,No
53587,M,NY,11001,110,31,3,66,169,235,6,1,1,2,1,0,1,0,Yes
59919,M,NJ,8901,89,25,3,65,169,234,6,1,1,1,1,2,0,0,No
13186,M,NY,11415,114,17,3,72,155,227,6,0,2,2,0,0,0,2,No
52842,F,MA,2129,21,35,3,71,152,223,6,0,1,2,0,2,1,0,No
53410,F,MA,2148,21,29,3,69,153,222,6,3,0,1,0,0,0,2,Yes
26800,M,CT,6511,65,19,3,63,158,221,6,3,1,0,1,1,0,0,No
16090,M,NJ,7109,71,19,3,69,150,219,6,0,1,1,2,2,0,0,Yes
14077,F,MA,1803,18,37,3,67,148,215,6,3,1,0,0,0,1,1,No
17617,M,NY,11510,115,23,3,69,144,213,6,1,0,2,1,1,1,0,No
15030,M,CT,6451,64,17,3,66,145,211,6,1,1,2,1,0,1,0,No
26616,F,NY,11238,112,25,3,73,137,210,6,0,2,1,0,1,1,1,No
59846,F,NJ,7724,77,37,3,66,142,208,6,1,1,3,0,0,0,1,No
23012,M,MA,2190,21,31,3,68,137,205,6,2,0,2,1,0,0,1,Yes
18495,F,NY,12601,126,27,3,65,137,202,6,2,2,1,0,0,0,1,No
53658,M,NJ,7417,74,25,3,75,121,196,6,0,1,1,1,1,1,1,No
34901,M,NJ,7103,71,31,3,70,124,194,6,1,0,1,0,3,1,0,Yes
42640,M,PA,19609,196,27,3,67,108,175,6,3,0,0,2,0,0,1,No
45643,M,NY,11558,115,29,3,73,98,171,6,1,1,1,0,1,1,1,Yes
20705,F,MA,2090,20,21,3,72,98,170,6,0,1,2,0,0,0,3,No
13442,F,NY,10548,105,31,3,66,99,165,6,2,1,2,0,0,0,1,No
25728,M,NJ,7701,77,37,3,65,95,160,6,3,0,1,1,0,1,0,Yes
24634,F,NY,10607,106,37,3,72,86,158,6,1,0,2,0,1,1,1,No
10378,F,ME,4901,49,23,3,70,85,155,6,1,1,2,0,0,0,2,No
36488,M,MA,2081,20,31,3,69,81,150,6,1,0,1,2,1,1,0,No
11106,M,NY,11572,115,37,3,70,73,143,6,2,0,1,1,0,2,0,No
18075,F,MD,21152,211,35,3,67,74,141,6,1,2,1,0,1,1,0,Yes
41083,M,NY,14622,146,33,3,63,78,141,6,2,1,2,1,0,0,0,No
33318,M,PA,19464,194,23,3,63,71,134,6,1,2,2,1,0,0,0,No
41284,M,NY,11375,113,37,3,70,63,133,6,1,0,1,2,1,0,1,No
51590,F,NY,11377,113,21,3,72,61,133,6,3,0,0,0,0,1,2,No
53689,M,MD,21044,210,25,3,63,64,127,6,1,2,2,1,0,0,0,No
48890,M,PA,19055,190,33,3,73,52,125,6,1,1,1,0,1,1,1,Yes
22517,M,NY,11560,115,35,3,65,57,122,6,2,0,2,2,0,0,0,No
45523,M,NY,14034,140,25,3,67,55,122,6,2,1,1,1,0,0,1,No
22739,M,MD,21220,212,29,3,80,37,117,6,0,1,0,0,0,1,4,Yes
50746,F,PA,19090,190,27,3,70,44,114,6,1,0,4,0,1,0,0,No
46675,M,NY,11414,114,37,3,74,30,104,6,2,0,0,1,1,0,2,No
12488,F,NY,11412,114,21,3,64,33,97,6,2,0,3,0,0,1,0,No
58167,F,NY,10989,109,25,3,63,31,94,6,2,0,3,0,1,0,0,No
45317,M,DE,19713,197,31,3,58,315,373,5,0,0,3,1,1,0,0,Yes
14152,F,PA,19355,193,27,3,56,313,369,5,2,1,1,0,0,0,1,No
30648,F,NJ,8360,83,21,3,62,294,356,5,1,0,0,0,2,1,1,Yes
10505,F,DC,20003,200,15,3,63,287,350,5,0,0,3,0,0,0,2,No
36482,M,CT,6066,60,23,3,54,296,350,5,2,0,2,1,0,0,0,No
19779,M,NJ,7036,70,31,3,58,291,349,5,2,0,1,1,0,0,1,No
52498,F,PA,15106,151,29,3,52,295,347,5,1,1,3,0,0,0,0,No
26945,M,PA,17042,170,17,3,52,290,342,5,1,3,0,1,0,0,0,No
43131,M,NY,10704,107,19,3,58,282,340,5,1,0,1,2,0,0,1,No
56182,M,CT,6811,68,19,3,60,271,331,5,0,0,3,1,0,0,1,No
26548,M,NJ,7928,79,17,3,63,265,328,5,0,0,2,1,0,1,1,No
38780,F,MA,1844,18,25,3,52,275,327,5,1,2,2,0,0,0,0,No
52922,M,NY,12550,125,25,3,62,263,325,5,1,0,1,1,1,0,1,No
28391,M,NY,10031,100,27,3,62,258,320,5,1,0,0,2,0,0,2,No
49811,F,NJ,7405,74,29,3,62,258,320,5,1,0,0,0,1,2,1,Yes
50058,F,NY,10977,109,21,3,50,268,318,5,3,1,1,0,0,0,0,No
43105,M,PA,19056,190,23,3,57,260,317,5,1,1,0,2,0,0,1,No
17388,M,MA,2532,25,31,3,58,253,311,5,1,0,2,1,0,0,1,No
35114,F,MA,2026,20,23,3,65,244,309,5,0,0,1,0,2,0,2,No
28743,F,NY,10549,105,31,3,56,249,305,5,3,0,0,0,1,1,0,No
45792,M,NY,11766,117,19,3,55,246,301,5,2,0,1,2,0,0,0,No
48920,M,NJ,8087,80,27,3,61,239,300,5,0,0,2,2,0,0,1,No
36098,M,NY,11768,117,23,3,58,239,297,5,1,0,1,2,0,0,1,No
18243,M,NJ,7067,70,15,3,56,239,295,5,2,1,0,1,0,1,0,No
45715,M,NY,10549,105,31,3,62,221,283,5,1,0,1,1,1,0,1,Yes
27079,F,NH,3872,38,23,3,62,216,278,5,0,0,2,0,2,1,0,No
16784,M,MD,20902,209,27,3,61,216,277,5,0,0,2,1,1,1,0,No
38750,F,MA,2144,21,17,3,51,224,275,5,2,2,1,0,0,0,0,No
26749,M,PA,19403,194,27,3,60,209,269,5,0,0,2,2,0,1,0,No
11078,F,NY,10510,105,31,3,57,203,260,5,2,0,2,0,0,0,1,No
39295,M,NJ,7920,79,17,3,57,201,258,5,0,1,2,1,1,0,0,No
24400,M,MA,2043,20,25,3,55,195,250,5,1,0,2,2,0,0,0,No
10976,M,PA,18052,180,23,3,54,194,248,5,2,1,0,2,0,0,0,No
26036,M,NY,10528,105,15,3,61,178,239,5,0,0,1,2,1,1,0,Yes
25813,M,MD,21090,210,17,3,57,173,230,5,4,0,0,1,0,0,0,No
26277,M,NY,11368,113,15,3,57,170,227,5,1,2,0,0,1,1,0,Yes
46479,F,ME,4074,40,29,3,65,160,225,5,0,0,1,0,1,0,3,Yes
54630,M,NY,14080,140,23,3,56,169,225,5,1,0,1,1,2,0,0,No
31779,M,NY,10312,103,31,3,58,165,223,5,2,0,1,1,0,0,1,No
18374,F,PA,17325,173,13,3,58,161,219,5,1,1,0,0,1,0,2,No
53668,M,PA,18103,181,19,3,63,150,213,5,1,0,1,1,0,1,1,No
14857,M,NY,11771,117,31,3,64,148,212,5,0,0,2,1,0,0,2,No
34615,M,NJ,7076,70,19,3,57,150,207,5,1,1,1,1,1,0,0,No
26274,M,PA,15241,152,31,3,53,152,205,5,1,1,2,1,0,0,0,No
49937,M,PA,15212,152,23,3,61,142,203,5,0,2,0,1,1,0,1,No
43942,F,MD,20878,208,25,3,53,147,200,5,0,2,3,0,0,0,0,No
55463,F,MA,2375,23,27,3,59,139,198,5,0,0,4,0,0,0,1,No
23194,M,PA,15045,150,33,3,51,145,196,5,2,0,3,0,0,0,0,No
35892,M,NY,10583,105,23,3,58,132,190,5,2,0,1,1,0,0,1,No
15293,M,PA,19342,193,27,3,57,131,188,5,1,0,2,1,0,1,0,Yes
47799,M,NJ,8010,80,31,3,60,126,186,5,1,0,2,0,0,1,1,No
16476,M,NJ,8007,80,29,3,55,129,184,5,0,2,2,1,0,0,0,No
42491,M,NJ,8079,80,19,3,58,125,183,5,1,1,1,1,0,1,0,No
32022,M,NY,13489,134,25,3,62,119,181,5,1,0,1,1,1,0,1,No
27421,M,NJ,7666,76,19,3,56,124,180,5,2,1,0,1,0,1,0,No
54191,F,NY,11374,113,15,3,58,122,180,5,1,0,2,0,1,1,0,No
55421,M,PA,19001,190,21,3,61,117,178,5,1,0,0,2,0,1,1,No
16334,M,NY,10471,104,13,3,57,119,176,5,1,0,3,0,0,0,1,No
15498,F,MD,21108,211,21,3,63,103,166,5,1,1,0,0,1,1,1,No
10503,M,NJ,7202,72,13,3,59,106,165,5,2,0,1,0,1,0,1,Yes
49997,M,NJ,8757,87,27,3,58,106,164,5,2,0,1,1,0,0,1,No
17011,F,NY,11355,113,25,3,56,100,156,5,2,1,1,0,0,0,1,No
29896,F,NY,10591,105,27,3,68,87,155,5,0,0,1,0,0,0,4,No
